Athlete,Sport,Date,Competition,Comp Set,Class,Discipline,Discipline_AR,Phase,Gender,Age,Rank,Result,Medal,Wind,Attempt,Status,Country,Detection_Method,Source_URL
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 1 - سيدات تمهيدي - المباراة 1,Qualification,Women,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0120
Oman (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 1 - سيدات تمهيدي - المباراة 1,Qualification,Women,,,,,,,Scheduled,OMA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0120
Kuwait (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 2 - سيدات تمهيدي - المباراة 2,Qualification,Women,,,,,,,Scheduled,KUW,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0121
Bahrain (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 2 - سيدات تمهيدي - المباراة 2,Qualification,Women,,,,,,,Scheduled,BRN,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0121
Oman (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 3 - سيدات تمهيدي - المباراة 3,Qualification,Women,,,,,,,Scheduled,OMA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0122
Qatar (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 3 - سيدات تمهيدي - المباراة 3,Qualification,Women,,,,,,,Scheduled,QAT,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0122
Bahrain (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 4 - رجال تمهيدي - المباراة 4,Qualification,Men,,,,,,,Scheduled,BRN,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0123
Kuwait (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 4 - رجال تمهيدي - المباراة 4,Qualification,Men,,,,,,,Scheduled,KUW,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0123
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 5 - رجال تمهيدي - المباراة 5,Qualification,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0124
Qatar (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 5 - رجال تمهيدي - المباراة 5,Qualification,Men,,,,,,,Scheduled,QAT,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0124
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 6 - سيدات تمهيدي - المباراة 6,Qualification,Women,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0125
Qatar (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 6 - سيدات تمهيدي - المباراة 6,Qualification,Women,,,,,,,Scheduled,QAT,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0125
Oman (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 7 - سيدات تمهيدي - المباراة 7,Qualification,Women,,,,,,,Scheduled,OMA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0126
Bahrain (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 7 - سيدات تمهيدي - المباراة 7,Qualification,Women,,,,,,,Scheduled,BRN,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0126
Kuwait (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 8 - سيدات تمهيدي - المباراة 8,Qualification,Women,,,,,,,Scheduled,KUW,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0127
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 8 - سيدات تمهيدي - المباراة 8,Qualification,Women,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0127
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 9 - رجال تمهيدي - المباراة 9,Qualification,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0128
Kuwait (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 9 - رجال تمهيدي - المباراة 9,Qualification,Men,,,,,,,Scheduled,KUW,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0128
Qatar (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 10 - رجال تمهيدي - المباراة 10,Qualification,Men,,,,,,,Scheduled,QAT,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0129
Bahrain (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 10 - رجال تمهيدي - المباراة 10,Qualification,Men,,,,,,,Scheduled,BRN,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0129
Bahrain (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 11 - سيدات تمهيدي - المباراة 11,Qualification,Women,,,,,,,Scheduled,BRN,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0130
Qatar (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 11 - سيدات تمهيدي - المباراة 11,Qualification,Women,,,,,,,Scheduled,QAT,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0130
Oman (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 12 - سيدات تمهيدي - المباراة 12,Qualification,Women,,,,,,,Scheduled,OMA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0131
Kuwait (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 12 - سيدات تمهيدي - المباراة 12,Qualification,Women,,,,,,,Scheduled,KUW,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0131
Bahrain (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 13 - سيدات تمهيدي - المباراة 13,Qualification,Women,,,,,,,Scheduled,BRN,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0132
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 13 - سيدات تمهيدي - المباراة 13,Qualification,Women,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0132
Kuwait (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 14 - رجال تمهيدي - المباراة 14,Qualification,Men,,,,,,,Scheduled,KUW,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0133
Qatar (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 14 - رجال تمهيدي - المباراة 14,Qualification,Men,,,,,,,Scheduled,QAT,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0133
Bahrain (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 15 - رجال تمهيدي - المباراة 15,Qualification,Men,,,,,,,Scheduled,BRN,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0134
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 15 - رجال تمهيدي - المباراة 15,Qualification,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0134
Qatar (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 16 - سيدات تمهيدي - المباراة 16,Qualification,Women,,,,,,,Scheduled,QAT,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0135
Kuwait (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 16 - سيدات تمهيدي - المباراة 16,Qualification,Women,,,,,,,Scheduled,KUW,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0135
Qatar (Team),Handball,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 1 - رجال تمهيدي - المباراة 1,Qualification,Men,,,,,,,Scheduled,QAT,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0094
United Arab Emirates (Team),Handball,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 1 - رجال تمهيدي - المباراة 1,Qualification,Men,,,,,,,Scheduled,UAE,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0094
Bahrain (Team),Handball,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 2 - رجال تمهيدي - المباراة 2,Qualification,Men,,,,,,,Scheduled,BRN,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0095
Kuwait (Team),Handball,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 2 - رجال تمهيدي - المباراة 2,Qualification,Men,,,,,,,Scheduled,KUW,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0095
Saudi Arabia (Team),Handball,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 3 - رجال تمهيدي - المباراة 3,Qualification,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0096
United Arab Emirates (Team),Handball,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 3 - رجال تمهيدي - المباراة 3,Qualification,Men,,,,,,,Scheduled,UAE,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0096
Kuwait (Team),Handball,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 4 - رجال تمهيدي - المباراة 4,Qualification,Men,,,,,,,Scheduled,KUW,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0097
Qatar (Team),Handball,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 4 - رجال تمهيدي - المباراة 4,Qualification,Men,,,,,,,Scheduled,QAT,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0097
Kuwait (Team),Handball,2026-05-18,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 5 - رجال تمهيدي - المباراة 5,Qualification,Men,,,,,,,Scheduled,KUW,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0098
United Arab Emirates (Team),Handball,2026-05-18,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 5 - رجال تمهيدي - المباراة 5,Qualification,Men,,,,,,,Scheduled,UAE,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0098
Saudi Arabia (Team),Handball,2026-05-18,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 6 - رجال تمهيدي - المباراة 6,Qualification,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0099
Bahrain (Team),Handball,2026-05-18,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 6 - رجال تمهيدي - المباراة 6,Qualification,Men,,,,,,,Scheduled,BRN,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0099
Saudi Arabia (Team),Handball,2026-05-19,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 7 - رجال تمهيدي - المباراة 7,Qualification,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0100
Kuwait (Team),Handball,2026-05-19,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 7 - رجال تمهيدي - المباراة 7,Qualification,Men,,,,,,,Scheduled,KUW,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0100
Bahrain (Team),Handball,2026-05-19,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 8 - رجال تمهيدي - المباراة 8,Qualification,Men,,,,,,,Scheduled,BRN,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0101
Qatar (Team),Handball,2026-05-19,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 8 - رجال تمهيدي - المباراة 8,Qualification,Men,,,,,,,Scheduled,QAT,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0101
